OntologyID,Class,Instance
EN_1000002,dataset,Stanford Question Answering Dataset
EN_1000002,dataset,SQUAD
EN_1000003,dataset,ImageNet
EN_1000004,dataset,Stanford Natural Language Inference corpus
EN_1000004,dataset,SNLI
EN_1000005,dataset,MultiNLI
EN_1000006,dataset,Simple Wiki
EN_1000007,dataset,IMDB Reviews
EN_1000007,dataset,IMDB Dataset
EN_1000008,dataset,Wordnet
EN_1000009,dataset,NewsQA
EN_1000010,dataset,MS Marco
EN_1000011,dataset,TweetQA
EN_1000012,dataset,WikiQA
EN_1000013,dataset,bAbi
EN_1000014,dataset,CIFAR-10
EN_1000015,dataset,MS Coco
EN_1000016,dataset,MSLR-WEB30K
EN_1000017,dataset,Yahoo C14B
EN_1000018,dataset,LETOR4.0
EN_1000019,dataset,DBLP-Citation-network
,dataset,GLUE
,dataset,TREC
EN_1000038,metric,Euclidean
EN_1000039,metric,Manhattan
EN_1000040,metric,Minkowski
EN_1000041,metric,Levenshtein
EN_1000043,metric,Bilingual evaluation understudy
EN_1000043,metric,BLEU
EN_1000044,metric,Recall-Oriented Understudy for Gisting Evaluation
EN_1000044,metric,ROUGE
EN_1000045,metric,F1
EN_1000047,metric,Kappa statistics
EN_1000050,metric,Mean Average Precision
EN_1000056,hardware,Intel
EN_1000058,hardware,NVIDIA_TESLA_K80
EN_1000059,hardware,NVIDIA_TESLA_P4
EN_1000060,hardware,NVIDIA_TESLA_P100
EN_1000061,hardware,NVIDIA_TESLA_T4
EN_1000062,hardware,NVIDIA_TESLA_V100
EN_1000063,hardware,GeForce GTX TITAN X
EN_1000064,hardware,GeForce GT 1030
EN_1000065,hardware,GeForce GTX 1050
EN_1000066,hardware,GeForce GTX 1050 Ti
EN_1000067,hardware,GeForce GTX 1060
EN_1000068,hardware,GeForce GTX 1070
EN_1000069,hardware,GeForce GTX 1070 Ti
EN_1000070,hardware,GeForce GTX 1080
EN_1000071,hardware,GeForce GTX 1080 Ti
EN_1000073,hardware,TPU v2
EN_1000074,hardware,TPU v3
EN_1000055,hardware,CPU
EN_1000056,hardware,GPU 
EN_1000072,hardware,TPU
,learning_paradigm,Supervised learning
,learning_paradigm,Unsupervised learning
,learning_paradigm,Semi-supervised learning
,learning_paradigm,Reinforcement learning
,learning_paradigm,Self learning
,learning_paradigm,Transfer learning
,learning_paradigm,Curriculum learning
,software_framework,Tensorflow
,software_framework,PyTorch
,software_framework,Theano
,software_framework,Apache MXNet
,software_framework,CAFFE
,software_framework,Torch
,software_framework,Keras
,software_framework,DyNet
,software_framework,MxNet
,software_framework,Chainer
,architectural_element,Convolutional layer
,architectural_element,Pooling layer
,architectural_element,ReLU layer
,architectural_element,Fully connected layer
,architectural_element,Softmax layer
,architectural_element,Hidden layer
,architectural_element,Attention layer
,architectural_element,Softmax
,architectural_element,ReLu
,architectural_element,Sigmoid
,machine_learning_algorithm,Ordinary Least Squares Regression
,machine_learning_algorithm,OLSR
,machine_learning_algorithm,Linear Regression
,machine_learning_algorithm,Logistic Regression
,machine_learning_algorithm,Stepwise Regression
,machine_learning_algorithm,Multivariate Adaptive Regression Spline
,machine_learning_algorithm,MARS
,machine_learning_algorithm,Locally Estimated Scatterplot Smoothing
,machine_learning_algorithm,Max-pooling
,machine_learning_algorithm,k-Nearest Neighbor
,machine_learning_algorithm,Nearest Neighbor
,machine_learning_algorithm,kNN
,machine_learning_algorithm,k-NN
,machine_learning_algorithm,Learning Vector Quantization
